rank	title	composer	category	year	stars
1	The Four Seasons (Le Quattro Stagioni)	Antonio Vivaldi	Violin Concerto	1723	2515
2	Requiem in D Minor, K. 626	Wolfgang Amadeus Mozart	Mass / Requiem	1791	2122
3	Symphony No. 9 in D Minor, Op. 125	Ludwig van Beethoven	Symphony	1824	2084
4	Nocturnes	Frédéric Chopin	Piano Sonata	1846	1999
5	Swan Lake, Op. 20	Pyotr Ilyich Tchaikovsky	Ballet	1876	1335
6	Toccata and Fugue in D Minor, BWV 565	Johann Sebastian Bach	Organ		1311
7	Brandenburg Concertos, BWV 1046–1051	Johann Sebastian Bach	Unsorted Orchestral	1721	1263
8	Symphony No. 5 in C Minor, Op. 67	Ludwig van Beethoven	Symphony	1808	1251
9	The Nutcracker, Op. 71	Pyotr Ilyich Tchaikovsky	Ballet	1892	1197
10	Symphony No. 7 in A Major, Op. 92	Ludwig van Beethoven	Symphony	1812	1101
11	Symphony No. 40 in G Minor, K. 550	Wolfgang Amadeus Mozart	Symphony	1788	1022
12	Gymnopédies	Erik Satie	Piano Sonata	1888	1019
13	Symphony No. 9 (From the New World), Op. 95, B. 178	Antonín Dvořák	Symphony	1893	995
14	The Blue Danube (An der schönen blauen Donau), Op. 314	Johann Strauss II	Unsorted Orchestral	1866	959
15	Piano Concerto No. 2 in C Minor, Op. 18	Sergei Rachmaninoff	Piano Concerto	1901	894
16	The Rite of Spring (Le Sacre du printemps)	Igor Stravinsky	Unsorted Orchestral	1913	879
17	Boléro	Maurice Ravel	Unsorted Orchestral	1928	849
18	The Magic Flute (Die Zauberflöte), K. 620	Wolfgang Amadeus Mozart	Opera	1791	835
19	The Planets, Op. 32	Gustav Holst	Unsorted Orchestral	1916	832
20	Piano Sonata No. 23 in F Minor (Appassionata), Op. 57	Ludwig van Beethoven	Piano Sonata	1805	831
21	1812 Overture, Op. 49	Pyotr Ilyich Tchaikovsky	Unsorted Orchestral	1880	825
22	Carmen	Georges Bizet	Opera	1874	820
23	Hungarian Dances, WoO 1	Johannes Brahms	Unsorted Orchestral	1869	815
24	Symphony No. 6 in F Major (Pastoral Symphony), Op. 68	Ludwig van Beethoven	Symphony	1808	806
25	The Well-Tempered Clavier, BWV 846–893	Johann Sebastian Bach	Piano Sonata	1742	792
26	Piano Concerto No. 1 in B-flat Minor, Op. 23	Pyotr Ilyich Tchaikovsky	Piano Concerto	1875	770
27	Hungarian Rhapsodies, S. 244	Franz Liszt	Piano Sonata	1846	768
28	Canon in D	Johann Pachelbel	Unsorted Chamber		766
29	Piano Sonata No. 14 in C-sharp Minor (Moonlight Sonata), Op. 27	Ludwig van Beethoven	Piano Sonata	1801	765
30	Études, Op. 10, 25	Frédéric Chopin	Piano Sonata		736
31	Violin Concerto in D Major, Op. 35	Pyotr Ilyich Tchaikovsky	Violin Concerto	1878	728
32	Rhapsody in Blue	George Gershwin	Unsorted Orchestral	1924	728
33	The Marriage of Figaro (Le nozze di Figaro), K. 492	Wolfgang Amadeus Mozart	Opera	1786	707
34	Symphony No. 5	Gustav Mahler	Symphony	1902	707
35	Goldberg Variations, BWV 988	Johann Sebastian Bach	Piano Sonata		695
36	The Carnival of the Animals (Le carnaval des animaux)	Camille Saint-Saëns	Unsorted Orchestral	1886	689
37	Für Elise (Bagatelle No. 25 in A minor), WoO 59	Ludwig van Beethoven	Piano Sonata	1810	688
38	Symphony No. 9	Gustav Mahler	Symphony	1909	658
39	Symphony No. 41 in C Major (Jupiter Symphony), K. 551	Wolfgang Amadeus Mozart	Symphony	1788	652
40	Messiah, HWV 56	George Frideric Handel	Choral orchestral	1741	651
41	La mer (The Sea), L. 109	Claude Debussy	Unsorted Orchestral	1905	645
42	Piano Concerto No. 5 in E-flat Major (Emperor Concerto), Op. 73	Ludwig van Beethoven	Piano Concerto	1811	643
43	Symphony No. 6 in B Minor (Pathétique), Op. 74	Pyotr Ilyich Tchaikovsky	Symphony	1893	643
44	Symphony No. 5 in D Minor, Op. 47	Dmitri Shostakovich	Symphony	1937	627
45	Mass in B Minor	Johann Sebastian Bach	Mass / Requiem	1749	623
46	Scheherazade, Op. 35	Nikolai Rimsky-Korsakov	Unsorted Orchestral	1888	621
47	Eine kleine Nachtmusik (Serenade No. 13 in G Major), K. 525	Wolfgang Amadeus Mozart	Unsorted Orchestral	1787	619
48	24 preludes, Op. 28	Frédéric Chopin	Piano Sonata	1839	597
49	The Art of Fugue (Die Kunst der Fuge), BWV 1080	Johann Sebastian Bach	Organ	1746	583
50	The Firebird	Igor Stravinsky	Ballet	1910	580
51	Pictures at an Exhibition	Modest Mussorgsky	Piano Sonata	1874	578
52	Violin Concerto in E Minor, Op. 64	Felix Mendelssohn	Violin Concerto	1844	566
53	The Barber of Seville (Il barbiere di Siviglia)	Gioachino Rossini	Opera	1816	564
54	Symphony No. 3 in E-flat Major (Heroic Symphony), Op. 55	Ludwig van Beethoven	Symphony	1804	563
55	Piano Concerto No. 21 in C Major, K. 467	Wolfgang Amadeus Mozart	Piano Concerto	1785	561
56	St Matthew Passion (Matthäus-Passion), BWV 244	Johann Sebastian Bach	Choral orchestral	1727	544
